Museum Name,Museum Type,Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Latitude,Longitude,Income,Revenue
BLACK TAVERN HISTORICAL SOCIETY OF DUDLEY MA,HISTORIC PRESERVATION,36 TANYARD ROAD,DUDLEY,MA,1571,42.04571,-71.92982,24309,23926
BLACKBURN TAVERN,GENERAL MUSEUM,,,,,42.61184,-70.66566,,
BLACKSTONE CANAL CONSERVANCY,HISTORIC PRESERVATION,,,,,42.12495,-71.54945,0,0
BLACKSTONE VALLEY ANGEL OF HOPE,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,42.04381,-71.59457,0,0
BLANDFORD HISTORICAL SOCIETY,HISTORIC PRESERVATION,1 NORTH STREET,BLANDFORD,MA,1008,42.18971,-72.93269,29054,24259
BLUE HILL ADVENTURES & QUARRY MUSEUM,GENERAL MUSEUM,,,,,42.21756,-71.20854,14652,14652
BLUE HILL OBSERVATORY SCIENCE CENTER,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,1904 CANTON AVE,MILTON,MA,2186,42.21799,-71.11943,222457,199813
BOARDMAN HOUSE,HISTORIC PRESERVATION,,,,,42.47226,-71.03773,,
BOLTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,676 MAIN ST,BOLTON,MA,1740,42.43295,-71.60565,0,0
BOOTT COTTON MILLS MUSEUM,GENERAL MUSEUM,,,,,42.64748,-71.30758,,
BORGIA GALLERY,ART MUSEUM,,,,,42.14271,-72.60276,39013054,39013054
BOSTON & MAINE RAILROAD HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.6454,-71.30844,58662,36565
BOSTON ATHENAEUM,GENERAL MUSEUM,,,,,42.35815,-71.06208,32845165,3907008
BOSTON BRAVES HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,,,,,42.31978,-71.16827,,
BOSTON CHILDREN'S MUSEUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,308 CONGRESS STREET,BOSTON,MA,2210,42.35195,-71.04978,,
BOSTON FIRE HISTORICAL SOCIETY,HISTORIC PRESERVATION,PO BOX 347,READVILLE,MA,2137,42.23507,-71.13446,0,0
BOSTON HISTORIC THEATRE DISTRICT,HISTORIC PRESERVATION,,,,,42.3463,-71.25265,,
BOSTON HISTORY CENTER AND MUSEUM,GENERAL MUSEUM,55 COURT ST BASEMENT,BOSTON,MA,2110,42.35928,-71.05917,,
BOSTON HISTORY COLLABORATIVE,HISTORIC PRESERVATION,,,,,42.34942,-71.09578,,
BOSTON IRISH FAMINE MEMORIAL,HISTORIC PRESERVATION,,,,,42.2266,-71.0256,28722,8146
BOSTON LANDMARKS ORCHESTRA,HISTORIC PRESERVATION,,,,,42.35749,-71.14824,1570681,1533767
BOSTON MAP SOCIETY,HISTORIC PRESERVATION,,,,,42.37346,-71.12299,0,0
BOSTON MINUTEMEN DIVISION,GENERAL MUSEUM,,,,,42.14151,-71.26459,0,0
BOSTON MUSEUM,GENERAL MUSEUM,,,,,42.35928,-71.05917,,
BOSTON NATIONAL HISTORICAL PARK FACILITY,HISTORIC PRESERVATION,,,,,42.37794,-71.06291,,
BOSTON PRESERVATION ALLIANCE,HISTORIC PRESERVATION,,,,,42.35802,-71.05942,403821,360083
BOSTON TEA PARTY SHIP AND MUSEUM,GENERAL MUSEUM,306 CONGRESS ST,BOSTON,MA,2210,42.35141,-71.04994,,
BOSTON UNIVERSITY ART GALLERY,ART MUSEUM,,,,,42.35198,-71.11512,2999999997,0
BOSTONIAN SOCIETY,GENERAL MUSEUM,,,,,42.35787,-71.05782,3014253,1435800
BOTANIC GARDEN OF SMITH COLLEGE,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,42.30139,-72.5737,0,0
BOURNE HISTORICAL CENTER AND ARCHIVES,HISTORIC PRESERVATION,PO BOX 3095,BOURNE,MA,2532,41.74742,-70.60874,67649,66312
BOURNE HISTORICAL SOCIETY,HISTORIC PRESERVATION,30 KEENE STREET,BOURNE,MA,2532,41.74375,-70.59599,67649,66312
BOURNE SOCIETY FOR HISTORIC PRESERVATION,HISTORIC PRESERVATION,22 SANDWICH RD,BUZZARDS BAY,MA,2559,41.74253,-70.59574,0,0
BOURNE SOCIETY HISTORIC HOUSE,HISTORIC PRESERVATION,,,,,41.74253,-70.59574,,
BOXBOROUGH HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.4828,-71.51407,0,0
BOXFORD HISTORICAL SOCIETY,HISTORIC PRESERVATION,ELM ST,BOXFORD,MA,1921,42.67638,-71.00866,33717,21132
BOYLSTON HISTORICAL SOCIETY AND MUSEUM,HISTORIC PRESERVATION,7 CENTRAL ST,BOYLSTON,MA,1505,42.35445,-71.72912,0,0
BRAINTREE HISTORICAL SOCIETY,HISTORIC PRESERVATION,786 WASHINGTON STREET,BRAINTREE,MA,2184,42.20648,-71.00404,153416,126312
BRANT GALLERY,ART MUSEUM,,,,,42.33597,-71.10044,,
BRAZIALIAN CULTURAL CENTER OF NEW ENGLAND,GENERAL MUSEUM,,,,,42.372,-71.10045,,
BREWSTER HISTORICAL SOCIETY,HISTORIC PRESERVATION,3171 MAIN STREET,BREWSTER,MA,2631,41.77359,-70.04163,88444,76345
BREWSTER MEETING HOUSE,HISTORIC PRESERVATION,,,,,41.75194,-70.07338,98602,98602
BRICKBOTTOM ARTISTS ASSOCIATION,ART MUSEUM,1 FITCHBERG STREET,SOMERVILLE,MA,2143,42.37598,-71.08416,27680,27680
BRIGHTON-ALLSTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.34859,-71.15336,0,0
BROCKELBANK MUSEUM,GENERAL MUSEUM,,,,,42.72732,-70.98211,0,0
BROCKTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.10087,-71.06716,13143,8983
BROOKLINE HISTORICAL COMMISSION,HISTORIC PRESERVATION,,,,,42.32155,-71.16314,251,251
BROOKLINE HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.3437,-71.12365,,
BUCKLAND HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.58124,-72.79895,0,0
BUFFALO SOLDIERS HERITAGE,HISTORIC PRESERVATION,,,,,42.29338,-71.52982,0,0
BULFUNCH FUND,HISTORY MUSEUM,,,,,42.44966,-71.67136,,
BULLARD MEMORIAL FARM ASSOCIATION,HISTORIC PRESERVATION,7 BULLARD LANE,HOLLISTON,MA,1864,42.19244,-71.38527,2424499,534402
BUSCH-REISINGER MUSEUM,GENERAL MUSEUM,,,,,42.36977,-71.11216,83181439574,5840349457
BUTTERFLY PLACE,HISTORIC PRESERVATION,,,,,42.64136,-71.43851,,
BUTTONWOOD PARK ZOO,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",425 HAWTHORN STREET,NEW BEDFORD,MA,2740,41.6277,-70.95179,,
CAHOON MUSEUM OF AMERICAN ART,ART MUSEUM,,,,,41.62694,-70.44024,481783,424302
CALVIN COOLIDGE PRESIDENTIAL LIBRARY & MUSEUM,GENERAL MUSEUM,,,,,42.31685,-72.63623,,
CAMBRIDGE CENTER FOR CHINESE CULTURE,HISTORIC PRESERVATION,,,,,42.38667,-71.20443,822372,822372
CAMP KIWANEE,HISTORIC PRESERVATION,,,,,42.08369,-70.90663,0,0
CAMP ST AUGUSTINE,HISTORIC PRESERVATION,109 MILL ST,FOXBORO,MA,2035,42.04279,-71.27596,,
CAMPAIGN FOR THE AYER MANSION,HISTORIC PRESERVATION,,,,,42.34948,-71.09089,326380,325983
CANTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.17446,-71.13601,129835,129835
CAPE ANN HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,27 PLEASANT STREET,GLOUCESTER,MA,1930,42.61402,-70.66183,4552714,2765118
CAPE COD CENTER FOR THE ARTS,GENERAL MUSEUM,826 MAIN ST,DENNIS,MA,2638,41.7398,-70.19102,1775970,1774551
CAPE COD CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,,,,,41.58974,-70.47769,398142,359039
CAPE COD HORTICULTURAL SOCIETY,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",675 MAIN ST,BARNSTABLE,MA,2655,41.62774,-70.38138,25262,25262
CAPE COD MARITIME MUSEUM,HISTORY MUSEUM,135 SOUTH ST,HYANNIS PORT,MA,2601,41.65128,-70.27989,240094,230142
CAPE COD MODERN HOUSE TRUST,HISTORIC PRESERVATION,,,,,41.74251,-70.06055,253685,253685
CAPE COD MUSEUM OF ART,ART MUSEUM,,,,,41.73359,-70.19285,612625,582579
CAPE COD MUSEUM OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,869 MAIN ST,BREWSTER,MA,2631,41.75368,-70.11693,819575,727711
CAPE COD NATIONAL SEASHORE,HISTORIC PRESERVATION,,,,,41.90387,-69.97806,,
CAPE COD POTTERS,ART MUSEUM,,,,,41.68483,-69.96582,0,0
CAPEN HILL NATURE SANCTUARY,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,,,42.15139,-71.9896,106533,105652
CAPRON PARK ZOO,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,,,41.93495,-71.29889,25112,14360
CAPTAIN FORBES HOUSE MUSEUM,GENERAL MUSEUM,,,,,42.26455,-71.06497,,
CAPTAIN JOHN KENDRICK MARITIME,GENERAL MUSEUM,,,,,41.75594,-70.71334,,
CARDINAL SPELLMAN PHILATELIC MUSEUM,GENERAL MUSEUM,,,,,42.35217,-71.30508,358148,284476
CARLISLE HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.51547,-71.36578,51632,34854
CARNEY GALLERY,ART MUSEUM,,,,,42.35993,-71.29787,65964266,65230322
CAROLE CALO GALLERY,ART MUSEUM,,,,,,,,
CARVER HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.92217,-70.78923,381,21
CARYL HOUSE,HISTORIC PRESERVATION,,,,,42.23749,-71.28523,33716,33716
CASELLA GALLERY,ART MUSEUM,,,,,42.33731,-71.09609,154680919,134583920
CATAUMET SCHOOL HOUSE PRESERVATION GROUP,HISTORIC PRESERVATION,,,,,41.66378,-70.61234,0,0
CENTER FOR CONSERVATION AND TECHNICAL STUDIES,ART MUSEUM,,,,,42.36977,-71.11216,83181439574,5840349457
CENTER FOR HISTORIC SHIPWRECK PRESERVATION,HISTORIC PRESERVATION,,,,,42.04967,-70.18258,0,0
CENTER FOR LOWELL LIBRARY,GENERAL MUSEUM,,,,,42.65215,-71.3246,,
CENTER FOR VISUAL ARTS IN THE PUBLIC INTEREST,ART MUSEUM,,,,,42.06675,-72.58134,0,0
CENTERVILLE HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.65962,-70.34777,69316,67840
CENTRAL MASS STEAM GAS AND MACHINERY INSTITUTE,HISTORIC PRESERVATION,,,,,42.59071,-72.29957,0,0
CENTRAL MASSACHUSETTS GENEALOGICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.54899,-71.90648,0,0
CHAPIN LIBRARY OF RARE BOOKS,GENERAL MUSEUM,,,,,42.70917,-73.20466,294275043,294275043
CHARLEMONT HISTORICAL PRESERVATION SOCIETY,HISTORIC PRESERVATION,,,,,42.62537,-72.87765,0,0
CHARLEMONT HISTORICAL SOCIETY,HISTORIC PRESERVATION,25 MIDDLE ROAD,CHARLEMONT,MA,1339,42.59838,-72.90851,,
CHARLES HAYDEN PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,1 SCIENCE PARK,BOSTON,MA,2114,42.3676,-71.07055,,
CHARLES RIVER MUSEUM OF INDUSTRY & INNOVATION,GENERAL MUSEUM,,,,,42.37361,-71.23649,612100,588857
CHARLESTOWN HISTORICAL SOCIETY,HISTORIC PRESERVATION,43 MONUMENT SQUARE,CHARLESTOWN,MA,2129,42.37577,-71.06164,,
CHARLTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.13921,-71.96394,9275,9275
CHATHAM HISTORICAL SOCIETY,HISTORIC PRESERVATION,347 STAGE HARBOR RD,CHATHAM,MA,2633,41.67343,-69.96531,538243,272870
CHATHAM MARCONI MARITIME CENTER,GENERAL MUSEUM,847 ORLEANS RD,NORTH CHATHAM,MA,2650,41.70492,-69.98204,175376,164645
CHELMSFORD HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.58208,-71.36727,25961,25961
CHESTER FOUNDATION,GENERAL MUSEUM,,,,,42.28002,-72.97787,,
CHESTERFIELD HISTORICAL SOCIETY,HISTORIC PRESERVATION,66 EAST ST,CHESTERFIELD,MA,1012,42.37424,-72.82383,0,0
CHEVALIER AUDITORIUM AND GENE MACK GYMNASIUM,HISTORIC PRESERVATION,,,,,42.4187,-71.10856,0,0
CHILD'S PLAY MUSEUM,GENERAL MUSEUM,,,,,42.18928,-70.93553,,
CHILDREN S MUSEUM LOWELL,CHILDREN'S MUSEUM,,,,,42.64526,-71.30718,,
CHILDREN'S GLOBAL DISCOVERY MUSEUM,CHILDREN'S MUSEUM,,,,,42.23904,-70.81426,116837,116863
CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,,,,,41.5815,-70.96304,,
CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,25 S WATER ST,NEW BEDFORD,MA,2740,41.63409,-70.92349,,
CHILDREN'S MUSEUM IN EASTON,CHILDREN'S MUSEUM,,,,,42.0673,-71.08991,469834,441047
CHILDREN'S MUSEUM OF GREATER FALL RIVER,CHILDREN'S MUSEUM,,,,,41.70264,-71.15532,192544,181273
CHILDREN'S MUSEUM OF HOLYOKE,CHILDREN'S MUSEUM,444 DWIGHT STREET,HOLYOKE,MA,1040,42.20571,-72.60598,,
CHILDREN'S MUSEUM OF PLYMUTH,CHILDREN'S MUSEUM,,,,,41.92334,-70.65561,,
CHILDREN'S MUSEUM OF WILBRAHAM,CHILDREN'S MUSEUM,678 MAIN ST,WILBRAHAM,MA,1095,42.11013,-72.43558,0,0
CHILDREN'S MUSEUM OF WORCESTER,CHILDREN'S MUSEUM,222 HARRINGTON WAY,WORCESTER,MA,1602,42.26176,-71.76666,,
CITIZENS FOR PRESERVATION OF TOWN HALL,HISTORIC PRESERVATION,,,,,42.27878,-71.23504,35272,35272
CITYSPACE,HISTORIC PRESERVATION,,,,,42.26527,-72.66971,28670,28670
CLARA BARTON BIRTHPLACE MUSEUM,GENERAL MUSEUM,,,,,42.15336,-71.89316,,
CLARA E. SEXTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,36 CONCORD RD,BILLERICA,MA,1821,42.55581,-71.26959,0,0
CLINTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.41743,-71.68434,94208,34990
COACHMANS RIVER CENTER,HISTORIC PRESERVATION,,,,,42.79038,-70.85431,0,0
COASTAL MOUNTAIN RAILROAD,HISTORIC PRESERVATION,,,,,42.13945,-71.49877,466,466
CODMAN HOUSE,HISTORIC PRESERVATION,,,,,42.41617,-71.33115,,
COFFIN HOUSE MUSEUM,GENERAL MUSEUM,,,,,42.79316,-70.85712,,
COHASSET HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.24145,-70.80436,125409,100093
COL KNOXS ARTILLERY REGIMENT,GENERAL MUSEUM,3 EUGENIE TER,PO BOX 566,MA,1824,42.58661,-71.34778,0,0
COLERAINE LAND & HISTORIC PRESERVATION TRUST,HISTORIC PRESERVATION,,,,,42.66076,-72.67976,,
COLLECTION OF SCIENTIFIC INSTRUMENTS,GENERAL MUSEUM,,,,,42.36977,-71.11216,83181439574,5840349457
COLONEL ASHLEY HOUSE,HISTORIC PRESERVATION,,,,,42.10191,-73.36493,,
COLONIAL NEW ENGLAND MARTIAL MUSICK,HISTORIC PRESERVATION,21 PLEASANT ST,WAKEFIELD,MA,1880,42.50521,-71.06741,0,0
COLRAIN HISTORICAL SOCIETY,HISTORIC PRESERVATION,8 MAIN ROAD,COLAIN,MA,1340,42.67279,-72.69761,0,0
COMM OF MASS FORT DEVENS MUSEUM,GENERAL MUSEUM,,,,,42.5667,-71.58643,,
COMM-MASS FORT DEVENS MUSEUM,GENERAL MUSEUM,,,,,42.53434,-71.62786,,
COMMONWEALTH MUSEUM,HISTORIC PRESERVATION,,,,,42.31635,-71.06072,130966,130966
COMMONWEALTH ZOOLOGICAL CORPORATION,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,,,,42.3029,-71.08643,13269537,12888035
CONCORD ANTIQUARIAN SOCIETY,HISTORIC PRESERVATION,,,,,42.45784,-71.34185,5115098,2004727
CONCORD ART ASSOCIATION,ART MUSEUM,,,,,42.4596,-71.34696,1941869,477340
CONWAY HISTORICAL SOCIETY,HISTORIC PRESERVATION,160 MAIN ST,CONWAY,MA,1341,42.51488,-72.69913,0,0
COOPER-FROST-AUSTIN HOUSE,HISTORIC PRESERVATION,,,,,42.38415,-71.12237,,
COTOCHESET HISTORIC PRESERVATION TRUST,HISTORIC PRESERVATION,,,,,41.61608,-70.37035,22381,22381
CRACO SOCIETY,HISTORIC PRESERVATION,,,,,41.73807,-70.45351,0,0
CRANE MUSEUM OF PAPERMAKING,GENERAL MUSEUM,40 PIONEER ST,DALTON,MA,1226,42.47061,-73.17878,350450,
CROSBY MANSION,HISTORY MUSEUM,163 CROSBY LANE,BREWSTER,MA,2631,41.78224,-70.03484,0,0
CROSSTOWN FOUNDATION FOR THE ARTS,ART MUSEUM,,,,,42.36405,-71.05321,0,0
CUSHING HOUSE MUSEUM,GENERAL MUSEUM,,,,,42.80727,-70.87168,,
CYCLING THROUGH HISTORY,HISTORIC PRESERVATION,,,,,42.28909,-71.23229,0,0
CYPRUS AMERICAN ARCHAEOLOGICAL RESEARCH INSTITUTE,HISTORIC PRESERVATION,,,,,42.34936,-71.09602,312040,312040
CYRUS E DALLIN ART MUSEUM,ART MUSEUM,,,,,42.41513,-71.15217,0,0
DANFORTH MUSEUM,ART MUSEUM,,,,,42.28099,-71.41827,1549906,1514038
DANFORTH MUSEUM OF ART,ART MUSEUM,,,,,42.28099,-71.41827,,
DANVERS ARCHIVAL CENTER,GENERAL MUSEUM,,,,,42.55777,-70.94293,31083,10739
DANVERS HISTORICAL SOCIETY GLEN MAGNA,HISTORIC PRESERVATION,11 PAGE STREET,DANVERS,MA,1923,42.56538,-70.93665,271118,260176
DARTMOUTH HERITAGE PRESERVATION TRUST,HISTORIC PRESERVATION,388 COUNTY ST,NEW BEDFORD,MA,2748,41.6298,-70.92858,0,0
DARTMOUTH HISTORICAL AND ARTS SOCIETY,HISTORIC PRESERVATION,1205 RUSSELLS MILLS RD,DARTMOUTH,MA,2714,41.57329,-71.00436,0,0
DARWIN PROJECT,NATURAL HISTORY MUSEUM,,,,,42.38644,-71.12115,0,0
DAVIS ART MUSEUM AND CULTURAL CENTER,ART MUSEUM,,,,,42.29586,-71.29916,761881340,1726
DE CORDOVA AND DANA MUSEUM AND PARK,ART MUSEUM,,,,,42.42857,-71.31337,7395837,5686770
DEDHAM HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.24873,-71.17498,338204,155254
DEDHAM VILLAGE PRESERVATION ASSOCIATION,HISTORIC PRESERVATION,,,,,42.24787,-71.17767,12940,12940
DENNIS HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.70749,-70.15848,15557,14126
DESIGN MUSEUM BOSTON,GENERAL MUSEUM,,,,,42.34583,-71.03654,300963,300963
DEVENS HISTORICAL MUSEUM,HISTORIC PRESERVATION,,,,,42.53434,-71.62786,0,0
DIGAMMA BUILDING,HISTORIC PRESERVATION,,,,,42.34472,-71.07199,41524,39114
DIGHTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.81589,-71.14102,0,0
DIGITAL HERITAGE MAPPING,HISTORIC PRESERVATION,SUITE 311,BOSTON,MA,2115,42.34251,-71.09102,76353,76353
DINOSAUR TRACK QUARRY,GENERAL MUSEUM,�39 ALDRICH STREET,SOUTH HADLEY,MA,1075,42.23464,-72.58281,,
DISCOVERY MUSEUMS,CHILDREN'S MUSEUM,,,,,42.46386,-71.45639,1936849,1882704
DOLL E DAZE PROJECT AND MUSEUM,GENERAL MUSEUM,,,,,42.0381,-71.22022,33541,0
DOORS TO HISTORY,HISTORIC PRESERVATION,,,,,42.30287,-70.88303,,
DORCHESTER HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.32331,-71.06088,195355,182099
DOUGLAS HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.05794,-71.73184,0,0
DOVER HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.23749,-71.28523,33716,33716
DR. SEUSS NATIONAL MEMORIAL SCULPTURE GARDEN,GENERAL MUSEUM,21 EDWARDS ST,SPRINGFIELD,MA,1103,42.1043,-72.58708,,
DRACUT HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.6782,-71.33897,11458,11458
DUXBURY RURAL AND HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.02599,-70.68381,1852703,555979
DWIGHT-DERBY HOUSE,HISTORY MUSEUM,7 FRAIRY STREET,MEDFIELD,MA,2052,42.18715,-71.30824,16269,9389
E.N. JENCKES STORE AND MUSEUM,GENERAL MUSEUM,283 MAIN STREET,DOUGLAS,MA,1516,42.07527,-71.71118,0,0
EAST BOSTON GATEWAY,HISTORIC PRESERVATION,,,,,42.37956,-71.02887,88467,84419
EAST BRIDGEWATER HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.01183,-70.96402,176,176
EAST HAMPTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,7 HOLYOKE ST,EAST HAMPTON,MA,1027,42.26263,-72.66231,,
EAST LONGMEADOW HIGH SCHOOL ATHLETIC HALL OF FAME,GENERAL MUSEUM,180 MAPLE STREET,EAST LONGMEADOW,MA,1028,42.0582,-72.52329,27250,2264
EAST TAUNTON BEER CAN MUSEUM,GENERAL MUSEUM,,,,,,,,
EAST WING ART GALLERY,ART MUSEUM,,,,,42.59314,-71.98704,,
EASTHAM 1651 ARBORETUM,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,41.83939,-69.99096,0,0
EASTHAM HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.83939,-69.99096,24257,19642
EASTHAMPTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,7 HOLYOKE ST,EASTHAMPTON,MA,1027,42.26263,-72.66231,2948,2948
EASTON CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,9 SULLIVAN AVE,NORTH EASTON,MA,2356,42.06707,-71.10254,469834,441047
EASTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,80 MECHANIC STREET,NORTH EASTON,MA,2356,42.06921,-71.10323,65257,61848
ECOTARIUM,CHILDREN'S MUSEUM,222 HARRINGTON WAY,WORCESTER,MA,1604,42.26176,-71.76666,,
EDDY HOMESTEAD,HISTORIC PRESERVATION,,,,,41.6275,-70.94051,0,0
EDITH WHARTON RESTORATION,HISTORIC PRESERVATION,2 PLUNKETT ST,LENOX,MA,1240,42.33398,-73.27898,1762965,1544086
EDWARD DEVOTION HOUSE,HISTORIC PRESERVATION,,,,,42.3437,-71.12365,0,0
EDWARD GOREY HOUSE,HISTORIC PRESERVATION,,,,,40.74449,-73.98294,150395,
EDWARD M KENNEDY INSTITUTE,HISTORIC PRESERVATION,,,,,42.31635,-71.06072,10998960,4440909
EGAN INSTITUTE OF MARITIME,GENERAL MUSEUM,,,,,41.28267,-70.10215,,
EMERSON R W MEMORIAL HOUSE,HISTORIC PRESERVATION,,,,,42.4569,-71.3414,,
EMILY DICKINSON MUSEUM,GENERAL MUSEUM,,,,,42.34683,-72.52669,694033920,356118724
EMILY DICKINSON: THE HOMESTEAD AND THE EVERGREENS,HISTORIC PRESERVATION,,,,,42.37622,-72.51395,,
EMMAUS INSTITUTE,HISTORIC PRESERVATION,,,,,42.60334,-71.24936,70069,70069
ERIC CARLE MUSEUM OF PICTURE BOOK ART,ART MUSEUM,,,,,42.321,-72.53314,2789176,2337678
ERVING HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,42.59322,-72.45553,,
ESPIRITO SANTO MUSEUM,GENERAL MUSEUM,,,,,41.62505,-70.95154,0,0
ESPLANADE ASSOCIATION,HISTORIC PRESERVATION,,,,,42.35149,-71.07183,993561,772099
ESSEX HISTORICAL SOCIETY AND SHIPBUILDING MUSEUM,HISTORIC PRESERVATION,66 MAIN STREET,ESSEX,MA,1929,42.63263,-70.78003,181358,176141
ESSEX INSTITUTE,GENERAL MUSEUM,,,,,42.52209,-70.89238,,
ESSEX SHIPBUILDING MUSEUM,HISTORIC PRESERVATION,,,,,42.63124,-70.78057,181358,176141
ESSEX WATERFOUL MUSEUM,GENERAL MUSEUM,,,,,42.63213,-70.78748,,
EXPERIMENTAL AIRCRAFT ASSOCIATION,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,,,,42.64074,-70.94836,0,0
FAIRHAVEN HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.63125,-70.90201,,
FALL RIVER HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,41.70713,-71.15128,505806,
FALMOUTH HISTORICAL SOCIETY,HISTORIC PRESERVATION,65 PALMER AVENUE,FALMOUTH,MA,2541,41.55542,-70.61944,580791,233593
FISHER MUSEUM,GENERAL MUSEUM,,,,,42.36977,-71.11216,83181439574,5840349457
FITCHBURG ART MUSEUM,ART MUSEUM,,,,,42.58709,-71.80426,1113101,1113101
FITCHBURG HISTORICAL SOCIETY,HISTORIC PRESERVATION,781 MAIN ST,FITCHBURG,MA,1420,42.58495,-71.80417,81141,61057
FOGG ART MUSEUM,ART MUSEUM,,,,,42.36977,-71.11216,83181439574,5840349457
FOREST HILLS EDUCATIONAL TRUST,ART MUSEUM,95 FOREST HILLS,BOSTON,MA,2130,42.29906,-71.10553,148412,148412
FOREST PARK ZOOLOGICAL SOCIETY,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",�302 SUMNER AVE,SPRINGFIELD,MA,1138,42.08482,-72.56532,842443,801253
FORT TABOR MILITARY MUSEUM,GENERAL MUSEUM,1000C RODNEY FRENCH BOULDVARD,NEW BEDFORD,MA,2744,41.61207,-70.91675,0,0
FOUR HUNDRED BEACON CORPORATION,HISTORY MUSEUM,,,,,42.32428,-71.16135,0,0
FOURTH WALL PROJECT,GENERAL MUSEUM,,,,,36.32915,-119.29218,0,0
FOXBOROUGH HISTORICAL SOCIETY,HISTORIC PRESERVATION,40 SOUTH STREET,FOXBOROUGH,MA,2035,42.06262,-71.25004,0,0
FRAMINGHAM HISTORY & NATURAL HISTORY SOCIETY,HISTORIC PRESERVATION,,,,,42.30249,-71.43548,,
FRAMINGHAM STATE UNIVERSITY PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,,,,42.2966,-71.43706,,
FRANKLIN HISTORICAL MUSEUM,HISTORIC PRESERVATION,,,,,42.09078,-71.39308,0,0
FRANKLIN PARK ZOO,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",ONE FRANKLIN PARK ROAD,BOSTON,MA,2121,42.31272,-71.08053,,
FREDERICK LAW OLMSTED NATIONAL HISTORIC SITE,HISTORIC PRESERVATION,,,,,42.32428,-71.13143,,
FREEDOM TRAIL FOUNDATION,HISTORIC PRESERVATION,,,,,42.35317,-71.06075,1156918,1156918
FREETOWN HISTORICAL SOCIETY,HISTORIC PRESERVATION,1 SLAB BRIDGE ROAD,ASSONET,MA,2702,41.77194,-71.02596,134520,118091
FRELINGHUYSEN MORRIS HOUSE AND STUDIO,HISTORIC PRESERVATION,92 HAWTHORNE ST,LENOX,MA,1240,42.35274,-73.29175,2042877,
