Museum Name,Museum Type,Street Address (Physical Location),City (Physical Location),State (Physical Location),Zip Code (Physical Location),Latitude,Longitude,Income,Revenue
INUPIAT HERITAGE CENTER,GENERAL MUSEUM,5421 N STAR ST,BARROW,AK,99723,70.66976,-155.14303,,
JENSEN-OLSON ARBORETUM,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",23035 GLACIER HIGHWAY,JUNEAU,AK,99801,58.48383,-134.77955,0,0
JESSE LEE HOME,HISTORIC PRESERVATION,,,,,60.20885,-149.38716,1037819,1037819
JEWELL GARDENS,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",MILE 1 KLONDIKE HIGHWAY,SKAGWAY,AK,99840,59.45637,-135.31356,,
JILKAAT KWAAN HERITAGE CENTER,GENERAL MUSEUM,32 CHILKAT AVE,HAINES,AK,99827,59.24675,-135.47365,78314,78314
JUNEAU DOUGLAS CITY MUSEUM,GENERAL MUSEUM,,,,,58.30418,-134.42701,0,0
KACHEMAK HERITAGE LAND TRUST,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,,,,59.64583,-151.53416,454933,287801
KAKE TRIBAL HERITAGE FOUNDATION,HISTORIC PRESERVATION,PO BOX 317,KAKE,AK,99830,56.97824,-133.94876,0,0
KASILOF REGIONAL HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,MILE 75 KALIFORNSKY BEACH ROAD,KASILOF,AK,99610,60.33002,-151.28922,37843,37598
KATMAI NATIONAL PARK AND PRESERVE,HISTORIC PRESERVATION,,,,,58.70992,-156.65631,,
KENAI BICENTENNIAL VISITORS AND CULT. CENTER,GENERAL MUSEUM,,,,,60.55468,-151.26121,,
KENAI FJORDS NATIONAL PARK HEADQUARTERS,HISTORIC PRESERVATION,,,,,60.20885,-149.38716,,
KENAI HISTORICAL SOCIETY,HISTORIC PRESERVATION,PO BOX 1348,KENAI,AK,99611,60.58442,-151.23509,0,0
KIMURA GALLERY,ART MUSEUM,,,,,64.81712,-147.87837,,
KIND HEART ALASKA MUSEUM,GENERAL MUSEUM,,,,,64.77904,-147.3687,,
KLONDIKE GOLD RUSH NATIONAL HISTORICAL PARK,HISTORIC PRESERVATION,,,,,59.45637,-135.31356,,
KNIK MUSEUM,HISTORY MUSEUM,300 NORTH BOUNDARY STREET,WASILLA,AK,99654,61.58245,-149.43945,39167,36901
KODIAK HISTORICAL SOCIETY,HISTORIC PRESERVATION,,,,,57.7885,-152.39915,333248,288158
KODIAK MARITIME MUSEUM AND ART CENTER,ART MUSEUM,500 DOG BAY DRIVE,KODIAK,AK,99615,57.79263,-152.40165,85602,85352
KODIAK MILITARY HISTORY MUSEUM,HISTORY MUSEUM,,,,,57.79856,-152.38722,,
LAKE CLARK NATIONAL PARK AND PRESERVE,HISTORIC PRESERVATION,,,,,60.36206,-154.5406,,
LAST CHANCE MINING MUSEUM,GENERAL MUSEUM,,,,,58.30836,-134.39819,,
MARIE DRAKE PLANETARIUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,10014 CRAZY HORSE DR,JUNEAU,AK,99802,58.36674,-134.61082,0,0
MAXINE & JESSE WHITNEY MUSEUM,GENERAL MUSEUM,303 LOWE ST,VALDEZ,AK,99686,61.10482,-146.21652,,
MCCARTHY-KENNICOTT HISTORICAL MUSEUM,HISTORIC PRESERVATION,,,,,62.1077,-145.52846,0,0
MCKINLEY HISTORICAL SOCIETY & MUSEUM,HISTORIC PRESERVATION,240 E TUDOR RD,ANCHORAGE,AK,99503,61.1804,-149.87975,,
MURIE SCIENCE AND LEARNING CENTER,GENERAL MUSEUM,,,,,63.62586,-150.90305,,
MUSEUM OF ALASKA TRANSPORTATION AND INDUSTRY,HISTORY MUSEUM,3800 W MUSEUM DR,WASILLA,AK,99687,61.58414,-149.44139,87442,67641
MUSEUM OF THE ALEUTIANS,GENERAL MUSEUM,314 SALMON WAY,UNALASKA,AK,99685,53.87139,-166.54126,638447,609946
MUSEUM OF THE NORTH,GENERAL MUSEUM,,,,,64.81712,-147.87837,,
MUSEUMS ALASKA,GENERAL MUSEUM,PO BOX 3004,HOMER,AK,99603,59.66896,-151.48517,433429,433429
MUSK OX FARM & MUSEUM,GENERAL MUSEUM,,,,,61.60024,-149.12756,,
